,identifiant_unique,ville_code_postal
1489,chaussures_nicolle_66049_reparation_0233450778,COUTANCES 50200
1490,matos_sebastien_213793_reparation,CHAMPAGNE SUR SEINE 77430
1491,vignaud_chantal_166558_reparation_0556728364,ST MEDARD EN JALLES 33160
1492,hus_jacques_60280_reparation,BROGLIE 27270
1493,haut_var_motoculture_18407_reparation_0494766123_0670070235,FIGANIERES 83830
1494,mme_messager_carole_202352_reparation_0612628143,SIX FOURS LES PLAGES 83140
1495,societe_pacific_210101_reparation,AUBERVILLIERS 93300
1496,sellerie_bordelaise_161535_reparation_0556577933,BRUGES 33520
1497,garaud_deco_design_108183_reparation_0493327010,LA COLLE SUR LOUP 06480
1498,larrode_et_fils_159502_reparation_0559384180,BERGOUEY 64270
1499,mme_franquet_angelique_194039_reparation_0967853765,MAIGNELAY MONTIGNY 60420
1500,girardeau_michael_67995_reparation_0251203214,AVRILLE 85440
1501,api_one_211371_reparation,PARIS 10 75010
1502,home_info_services_121541_reparation_0235615930,BIHOREL 76420
1503,m_freis_joel_106207_reparation_0645964460,HILSPRICH 57510
1504,c_buissart_53676_reparation_0321367470,CALAIS 62100
1505,golliot_laurent_214742_reparation_0676844373,PARIS 13 75013
1506,hansi_mahdi_119717_reparation_0788508526,ANNECY 74600
1507,cordonnerie_et_cles_217324_reparation,VERSAILLES 78000
1508,myss_creation_167270_reparation_0556522854,BORDEAUX 33000
1509,marty_mode_201669_reparation,CHAUSSIN 39120
1510,olijay_164473_reparation_0686909886,CUBLAC 19520
1511,sarl_arboricorde_147850_reparation,SAUVIAN 34410
1512,usp_162753_reparation,TRENTELS 47140
1513,face_a_la_neige_4874_reparation_0479591106,ST FRANCOIS LONGCHAMP 73130
1514,lalloue_francois_152350_reparation_0785715035,BELESTA 09300
1515,m_ly_sokphat_123615_reparation,BOUXIERES AUX DAMES 54136
1516,beauasage_183307_reparation_0778430719,ST MAURICE PRES PIONSAT 63330
1517,proservices_equipement_70572_reparation,LA CHAPELLE SUR ERDRE 44240
1518,m_gerber_frederic_118190_reparation,FORBACH 57600
1519,mm_gargowitch_lancelot_181512_reparation_0750487582,SORGUES 84700
1520,berthome_sylviane_204776_reparation,CHOLET 49300
1521,mouls_jeanfrancois_140340_reparation,VABRES-L'ABBAYE 12400
1522,chevron_claire_210702_reparation_0618923432,PARIS 20 75020
1523,fluchere_informatique_180418_reparation_0685607788,SELONNET 04140
1524,latelier_de_la_halle_120293_reparation_0613770082,LA MURE 38350
1525,kiziltas_omer_208977_reparation,CHATILLON 92320
1526,les_3_bergamotes_179267_reparation_0688075206,TOURTOUR 83690
1527,mme_bouillez_roxane_56149_reparation_0952396218,LILLE 59000
1528,lecourt_laurine_134215_reparation_0634244283,LE MANS 72000
1529,mme_herisson_nathalie_222021_reparation_0610321106,PIGNANS 83790
1530,chaussard_jeanpierre_135100_reparation_0652790467,SEMOY 45400
1531,wollner_forges_210385_reparation_0142278813,PARIS 08 75008
1532,mme_seconde_eveangeline_106770_reparation_0643692055,PASSY GRIGNY 51700
1533,soussen_margot_214990_reparation_0606644676,ST MAUR DES FOSSES 94210
1534,atelier_ginkgo_cuir_175402_reparation_0788146424,SAINT SULPICE LAURIERE 87370
1535,fraux_patrice_140581_reparation,LAVERGNE 46500
1536,decors_dantan_67348_reparation,SALLERTAINE 85300
1537,groupe_sullet_137190_reparation,ST CYR SUR LOIRE 37540
1538,sarl_stanlatt_153793_reparation,SAINT-AUBIN-DU-CORMIER 35140
1539,ben_mansour_lahoucine_138079_reparation_0621751589,CHATEAU RENAULT 37110
1540,zeelab_154395_reparation,PLOUGASTEL-DAOULAS 29470
1541,tessier_marie_219247_reparation,ANTONY 92160
1542,show_room_xviii_eme_133504_reparation_0688326602,ROMANS SUR ISERE 26100
1543,lievre_claire_210330_reparation_0671617008,LOUVECIENNES 78430
1544,la_maison_syarra_222742_reparation_0668668117,LA TRONCHE 38700
1545,m_griesser_roland_186051_reparation_0953816100,OBERNAI 67210
1546,lutherie__harpes_et_cie_72296_reparation_0675178657,CHAMPFREMONT 53370
1547,opteamum_105585_reparation_0951676021,SARREGUEMINES 57200
1548,guillard_francois_159359_reparation_0556011546,BORDEAUX 33200
1549,claver_artiste_peintre_en_decors_160267_reparation_0559024384,PAU 64000
1550,fallecker_2141_reparation_0475400603,MIRABEL ET BLACONS 26400
1551,latelier_de_najy_195942_reparation_0386664971,SENS 89100
1552,lechantillon_220244_reparation_0612580826,SEVRES 92310
1553,aux_cat_vents_177855_reparation_0670066695,OLLIOULES 83190
1554,m_chavanne_roger_196429_reparation_0385922712,FONTAINES 71150
1555,repair_cafe_de_roubaix_1115_initiatives_locales,ROUBAIX 59100
1556,reinagel_christine_144700_reparation,COLOMIERS 31770
1557,mennour_mohamed_120588_reparation_0602237495,THIONVILLE 57100
1558,dupuis_anne_laure_100103_reparation,ST LAMBERT DU LATTAY 49750
1559,sav_stt_618_initiatives_locales,CHÂTEAUROUX 36000
1560,helfrid_jose_136788_reparation,NOYERS SUR CHER 41140
1561,lecuyere_176370_reparation_0609666163,LUCINGES 74380
1562,recyclarte_58489_sinoe,HENDAYE 64700
1563,mr_vandenbossche_bruno__mme_vandenbossche_dominique_57344_reparation_0327777474,MAROILLES 59550
1564,charles_sports_111750_reparation_0450262320,CHATEL 74390
1565,franco_flores_yenedith_214795_reparation_0648371628,PARIS 15 75015
1566,pebilie_7319_reparation_0777984847,CHAMBERY 73000
1567,gervaise_gournay_174374_reparation_0782866566,LORMONT 33310
1568,pascal_borsotti_196632_reparation_0384739027,MATHENAY 39600
1569,des_sieges_et_du_style_202874_reparation_0625970938,BELLEY 01300
1570,tatin_roselyne_100139_reparation_0672929078,QUELAINES ST GAULT 53360
1571,tacussel_artisan_createur_202801_reparation_0615666689,VETRAZ-MONTHOUX 74100
1572,gramont_multiservices_13052_reparation_0647324636,MARSAT 63200
1573,schmidt_nicolas_122856_reparation_0681430113,THONON-LES-BAINS 74200
1574,couturesque_167547_reparation_0660654854,ST LOUBES 33450
1575,david_janet_165667_reparation_0669545478,LUSSAC LES CHATEAUX 86320
1576,iacob_mihail_173619_reparation_0650330843,MERIGNAC 33700
1577,le_chas_noir_194329_reparation_0627866885,LAVENTIE 62840
1578,pmt_pagel_materiels_et_tehniques_211205_reparation_0139226435,POISSY 78300
1579,denis_marchal_109212_reparation_0688163429,CANNES 06400
1580,infoloca_drupal_m1521_0658882780,FOUGÈRES 35300
1581,mary_creations_201726_reparation_0642252827,COURCELLES LES MONTBARD 21500
1582,panier_by_mimi_160383_reparation_0680938313,ST LAURENT DES VIGNES 24100
1583,ebenisterie_de_la_croix_222751_reparation_0668890750,SIAUGUES STE MARIE 43300
1584,esprit_bois_124701_reparation_0783989430,VELOSNES 55600
1585,m_glover_antony_175773_reparation,DOURNAZAC 87230
1586,mme_farina_veronique_95497_reparation,LES NOES PRES TROYES 10420
1587,dtdt_de_loise_vestiaire_48643_sinoe_0344263928,MOUY 60250
1588,mm_marechal_thibaut_32381_reparation,MALAUCENE 84340
1589,sps_bois_194136_reparation_0615782522,NANTEUIL LE HAUDOUIN 60440
1590,vincent_lalande_archerie_138958_reparation,VOUZERON 18330
1591,blanc_claude_19787_reparation_0683491183,TOULON 83200
1592,interservice_6051_reparation,RIVE DE GIER 42800
1593,atelier_jsl_216992_reparation_0160357440,MITRY MORY 77290
1594,namali_202649_reparation_0625685468,LA ROCHE-DES-ARNAUDS 05400
1595,atelier_couture_et_retouches_15619_reparation,MARSEILLE--6E--ARRONDISSEMENT 13006
1596,societe_dexploitation_des_etablisseme_21104_reparation,SARRIANS 84260
1597,armor_depannage_152835_reparation,LANGUEUX 22360
1598,phd_creation_191419_reparation_0689560956,GOURBERA 40990
1599,handmade_from_france_184171_reparation_0761788663,ALIXAN 26300
1600,meubles_fauconnet_sarl_169140_reparation_0555670532,AUZANCES 23700
1601,atelier_soude_1343_initiatives_locales,LYON 1ER 69001
1602,meubles_blanchard_67154_reparation,CHALLANS 85300
1603,tapisserie_cottineau_anneclaude_165822_reparation_0686385875,ST PIERRE D EXIDEUIL 86400
1604,sebastien_joaillier_createur_55248_reparation_0327479367,VALENCIENNES 59300
1605,rosa_couture_123659_reparation,PONT A MOUSSON 54700
1606,vallot_michael_196467_reparation_0645261790,RADDON ET CHAPENDU 70280
1607,zoum_bike_store_125198_reparation,GARDANNE 13120
1608,lopes_amado_mariana_epse_lasserre_140905_reparation,RODEZ 12000
1609,tardis_informatique_184023_reparation,ANGLES 85750
1610,ledon_ketsana_146390_reparation_0769752965,PRAYSSAC 46220
1611,coignart_prescillia_151129_reparation,BEZIERS 34500
1612,repair_mobile_197619_reparation,LONS LE SAUNIER 39000
1613,henaux_eric_12336_reparation_0473729285,LE BRUGERON 63880
1614,piramyro_145144_reparation,LES ANGLES 30133
1615,mr_colas_michel__mme_colas_madeleine_54486_reparation_0320550628,LILLE 59000
1616,n3_service_agri_140012_reparation_0562098874,EAUZE 32800
1617,bienvenu_sylvain_113907_reparation_0634072423,ANNECY 74370
1618,laser_2000_depannage_134953_reparation_0247590183,LOCHES 37600
1619,ntvr_depannage_125001_reparation_0954900035,CHAUMONT 52000
1620,taj_212680_reparation_0668523192,PARIS 16 75016
1621,conteuse_de_perles_200450_reparation_0678867453,BLETTERANS 39140
1622,mecaman_9842_reparation_0469234511,PRIVAS 07000
1623,tabbou_175299_reparation,ST JEAN DE LUZ 64500
1624,darya_jewelry_120171_reparation_0760552230,VIENNE 38200
1625,harb_info_211145_reparation_0613349673,PALAISEAU 91120
1626,rebourg_adeline_31872_reparation_0681116371,CHAUSSETERRE 42430
1627,depannrey_192351_reparation_0631463430,MOGNENEINS 01140
1628,lenestour_alain_159121_reparation_0607466668,AGEN 47000
1629,mme_cordonnier_marie_helene_95975_reparation,SOULIERES 51130
1630,m_lefebvre_claude_54074_reparation_0686312400,ACHICOURT 62217
1631,retoucherie_raspail_210098_reparation,ARCUEIL 94110
1632,franchecomte_machines_a_coudre_198202_reparation_0384653463,GRAY 70100
1633,bechaux_mariette_104356_reparation_0664277687,LYON 04 69004
1634,atelier_metamorphose_223742_reparation_0642640728,MONTAGNY 73350
1635,louve_33551_reparation_0661011124,DUINGT 74410
1636,m_terso_michel_178448_reparation,LA CIOTAT 13600
1637,malitowski_michel_137416_reparation_0237312865,AUNAY SOUS AUNEAU 28700
1638,ulespace_de_romilly_sur_seine_vestiboutique_58045_sinoe_0325219249,ROMILLY SUR SEINE 10100
1639,bayer_henri_106888_reparation_0687728884,ANNEMASSE 74100
1640,engerbeau_aurelie_67406_reparation,TALMONT SAINT HILAIRE 85440
1641,obled_loic_118549_reparation,STE ANNE SUR BRIVET 44160
1642,keyshoes_6006_reparation,ROMANS SUR ISERE 26100
1643,libre_service_agricole_lisa_159884_reparation_0556599325,SAINT-LAURENT DU MEDOC 33112
1644,m_genay_damien_123790_reparation_0778125076,FROUARD 54390
1645,rachet_francois_172490_reparation,PESSAC 33600
1646,dorure_sur_bois_52332_reparation_0613862738,ANNECY 74000
1647,m_chipot_dominique_111949_reparation,FAUCOMPIERRE 88460
1648,coeur_dor_149592_reparation_0467810708,SUMENE 30440
1649,aero_crea_renov_223449_reparation_0682884019,VALHERBASSE 26350
1650,le_monde_de_patou_93344_reparation_0479260381,COGNIN 73160
1651,mme_puchois_carine_56150_reparation,DROUVIN LE MARAIS 62131
1652,lab_77266_reparation_0323581049,HIRSON 02500
1653,m_mocquet_jean_marie_199102_reparation,SAINT FARGEAU 89170
1654,chez_najat_183469_reparation_0661157168,CARPENTRAS 84200
1655,a_la_semelle_percee_60709_reparation_0608256204,GISORS 27140
1656,m_emme_franck_206739_reparation,NARBONNE 11100
1657,dubois_auguste_158714_reparation,MAGNAC SUR TOUVRE 16600
1658,durocher_laurent_220216_reparation_0628066817,SERRIS 77700
1659,musidora_bijoux_202612_reparation_0666489795,NICE 06000
1660,charvet_c_g_b_minute_shop_4018_reparation,CIVRIEUX D AZERGUES 69380
1661,events_passion_116820_reparation_0682444815,LES DESERTS 73230
1662,casaneuve_elsa_191178_reparation,LA TESTE-DE-BUCH 33260
1663,infiniment_cadres_209807_reparation_0145410111,VERT LE GRAND 91810
1664,manoufact_sellerie_109413_reparation_0659188398,AIX EN PROVENCE 13090
1665,alex_informatique_4679_reparation_0630650108,LORIOL SUR DROME 26270
1666,l_atelier_de_la_motoculture_19318_reparation,BRIGNOLES 83170
1667,m_saudemont_stephane_100834_reparation,MONTIGNY EN GOHELLE 62640
1668,roul_roul_207169_reparation_0659301210,DIGNAC 16410
1669,gayrard_motoculture_206955_reparation_0468318863,LIMOUX 11300
1670,vanflet___felon_60929_reparation_0621011225,BERNAY 27300
1671,de_toile_et_darmure_11835_reparation_0630392572,MONTFAUCON EN VELAY 43290
1672,les_petits_bambins_185218_reparation_0687523772,AVRANCHES 50300
1673,mllorlane__cie_194490_reparation,IZEL LES EQUERCHIN 62490
1674,opale_tv_services_drupal_m1519_0673210891,SAINT-LÉONARD 62360
1675,touillier_cyrielle_113523_reparation,LA CHEVROLIERE 44118
1676,adequate_60357_reparation_0235877979,LE THUIT  DE L'OISON 27370
1677,les_creations_de_la_ptite_fee_185195_reparation,ST QUENTIN SUR LE HOMME 50220
1678,m_labays_olivier_143230_reparation_0660890046,LE CAILAR 30740
1679,cotiga_france_133000_reparation_0972602692,MULHOUSE 68200
1680,miwe_france_105605_reparation,SARREGUEMINES 57200
1681,gerard_coquet_152733_reparation,MORLAIX 29600
1682,huber_laura_117769_reparation_0631055414,LEGE 44650
1683,guillemin_jacky_199157_reparation_0385331090,FLEURVILLE 71260
1684,cycles_du_chateau_deau_195967_reparation,CHAMPAGNOLE 39300
1685,tmarra_177554_reparation,CANNES 06400
1686,hofstetter_didier_209443_reparation,TIGERY 91250
1687,pedalage_131643_reparation_0650657713,MARSEILLE 13011
1688,valeried_creation_213743_reparation,PARIS 09 75009
1689,le_bon_clic_177728_reparation,SAINT RAPHAEL 83700
1690,les_tissus_disa__singer_66147_reparation_0233571091,ST LO 50000
1691,richardeau_gaelle_117649_reparation,NANTES 44300
1692,boiteau_patrick_70628_reparation,SUCE SUR ERDRE 44240
1693,schlang__reichart_equipement_forestier_120439_reparation_0388865942,SELTZ 67470
1694,isa_dans_les_nuages_171838_reparation,PESSAC 33600
1695,sarl_salaise_motoculture_service_963_reparation_0474296304,ST MAURICE L EXIL 38550
1696,m_simonard_jean_marc_182863_reparation,REIMS 51100
1697,miquel_valerie_epse_lebrun_148915_reparation_0782799009,ALBI 81000
1698,espace_maintenance_electronique_142969_reparation_0466036861,MONTAREN-ET-SAINT-MEDIERS 30700
1699,aupart_david_139313_reparation,ST AY 45130
1700,m_rabuel_vincent_175309_reparation,LE VIGEN 87110
1701,joie_crea_177721_reparation,NICE 06100
1702,azur_s_jewelry_183543_reparation_0620643216,LE MUY 83490
1703,espace_velo_95200_reparation,RIXHEIM 68170
1704,blanquet_jonathan_113403_reparation_0699052921,STE FLORINE 43250
1705,jeuxvideofr_luxeuil_les_bains_58563_sinoe_0384936287,LUXEUIL-LES-BAINS 70300
1706,eurl_lnor_207673_reparation_0563337106,RABASTENS 81800
1707,top_ski_4_2970_reparation_0479565386,VALMEINIER 73450
1708,mme_bersoux_aurelie_149116_reparation_0602508983,SAINT QUENTIN LA POTERIE 30700
1709,atelier_parchemin_drupal_m1873_0609724340,LE PLANTIS 61170
1710,theo_hoez_194302_reparation_0764014508,ENGLEFONTAINE 59530
1711,les_fantaisies_de_melie_9727_reparation_0662110894,LE NOYER 73340
1712,guilhem_et_guilhem_16825_reparation,CANNES 06400
1713,pompom_watermelon_183571_reparation_0677390032,ORANGE 84100
1714,good_mood_studio_206146_reparation_0762905731,BIHOREL 76420
1715,toutes_coutures_aunay_92734_reparation_0231778200,MONTS D'AUNAY (LES) 14260
1716,dronet_liudmila_137238_reparation,COURVILLE SUR EURE 28190
1717,mm_queytan_luc_181519_reparation_0490057608,JOUCAS 84220
1718,m_thiel_vincent_205057_reparation_0631323848,SOMMEDIEUE 55320
1719,convert_mathieu_145803_reparation_0698252138,MARSEILLAN 34340
1720,les_creas_dore_206149_reparation_0618975024,MAROMME LA MAINE 76150
1721,thch_137137_reparation,CHATEAUROUX 36000
1722,maja_blagojevic_158162_reparation_0684315822,SAINT-JEAN-SUR-VILAINE 35220
1723,moreau_mariechristine_162404_reparation_0549878569,PAYROUX 86350
1724,hbn_informatique_et_multimedia_177611_reparation,FREJUS 83600
1725,soliveres_jeanmarie_140599_reparation,LABASTIDE DU VERT 46150
1726,rodrigues_david_215745_reparation_0164569120,CHEPTAINVILLE 91630
1727,melapro_8046_reparation_0610454588,MOURS ST EUSEBE 26540
1728,duzelier_camille_117061_reparation,PASLIERES 63290
1729,nouvel_accord_138497_reparation_0248966022,ORVAL 18200
1730,3c_conception_206378_reparation,IFS 14123
1731,jacquemond_julie_93447_reparation_0671913622,SAINT GENEST MALIFAUX 42660
1732,au_fil_des_mots_de_stara_178717_reparation_0649413131,BRIGNOLES 83170
1733,icatt_173652_reparation_0682131498,TALENCE 33400
1734,charles_dunand_103864_reparation_0785281266,LES CONTAMINES-MONTJOIE 74170
1735,couillaud_pauline_214611_reparation_0673521121,PIERREFITTE SUR SEINE 93380
1736,tranngoc_diemthuy_216588_reparation,PARIS 20 75020
1737,belle_ile_motoculture_153975_reparation,SAUZON 56360
1738,deseigne_virginie_219270_reparation_0664446953,CHATEAU LANDON 77570
1739,jeancharles_pellegrino_109223_reparation_0493788163,LA COLLE SUR LOUP 06480
1740,high_tech_distribution_78121_reparation_0160792364,GRIGNY 91350
1741,j2c_informatique_31766_reparation_0670792608,SAINT ANDRE D APCHON 42370
1742,agnes_recupart_107804_reparation_0660513616,CAEN 14000
1743,la_ronde_des_createurs_172437_reparation,TURENNE 19500
1744,m_pouliquen_ronan_206953_reparation,ESPERAZA 11260
1745,vieu_vanessa_151560_reparation,MONTBLANC 34290
1746,marchal_105386_reparation_0382856487,HAYANGE 57700
1747,albret_cycles_174386_reparation_0673698286,NERAC 47600
1748,deo_141867_reparation_0561233162,TOULOUSE 31000
1749,c_junior_67441_reparation_0251069938,CHALLANS 85300
1750,dldp_182497_reparation,LE CANNET DES MAURES 83340
1751,elec_07_119785_reparation_0665983712,BOURG ST ANDEOL 07700
1752,option_ouest_informatique_drupal_m1759_0233475550,COUTANCES 50200
1753,greenstone_216763_reparation_0603157599,PARIS 16 75016
1754,nek_bespoke_59036_reparation_0781035766,LYON 03 69003
1755,m_coclet_franck_193813_reparation_0646385848,AUBY 59950
1756,cendrillon_160048_reparation,COULONGES SUR L AUTIZE 79160
1757,eurl_agrimaintenance_135535_reparation_0238757273,GEMIGNY 45310
1758,jd_formation_consulting_electricite_61084_reparation,STE COLOMBE LA COMMANDERIE 27110
1759,devaux_charles_bernard_145096_reparation,VINCA 66320
1760,mme_siksik_valerie_141911_reparation_0950558796,BOISSET ET GAUJAC 30140
1761,lanoir_nicolas_120338_reparation_0766520599,ANNECY 74370
1762,les_alliances_du_bonheur_209068_reparation_0145720922,PARIS 17 75017
1763,mr_caron_joel_57355_reparation_0344397533,BETHISY ST PIERRE 60320
1764,laurent_bidart_171044_reparation,ESQUIULE 64400
1765,de_croisoeuil_chateaurenard_didier_210079_reparation,PARIS 07 75007
1766,cecilia_dufau_169820_reparation_0675001896,MESCHERS SUR GIRONDE 17132
1767,restauration_de_meubles_anciens_177428_reparation,GRASSE 06130
1768,mr_beurel_pierre_164551_reparation_0546290337,LOIX 17111
1769,atelier_anais_deco_162487_reparation_0556416102,GAILLAN 33340
1770,l_occas_o_meubles_45950_sinoe_0243278706,ÉCOMMOY 72220
1771,camaly_cyprien_146487_reparation,DURENQUE 12170
1772,hollander_sibylle_209161_reparation_0139726391,CONFLANS STE HONORINE 78700
1773,pomie_chaudronnerie_materiel_agricole_143850_reparation,FLAVIN 12450
1774,boldyreff_pascal_143786_reparation_0626437407,PALAVAS LES FLOTS 34250
1775,les_martins_122725_reparation_0615272243,LANTIGNIE 69430
1776,sarl_spirit_of_moto_196370_reparation_0385209998,MACON 71000
1777,huot_196670_reparation_0381841700,VILLERS ST MARTIN 25110
1778,flury_francois_134737_reparation,VIERZON 18100
1779,repair_cafe_intercommunal_ocsigene_la_seguiniere_889_initiatives_locales,LA SÉGUINIÈRE 49280
1780,charrier_chantal_104166_reparation,ST MARS LA REORTHE 85590
1781,le_blanc_laurence_213501_reparation_0630490850,PARIS 15 75015
1782,ulespace_de_barr_vestiboutique_46654_sinoe_0388610523,BARR 67140
1783,bs_affutage_172842_reparation,MARSAC SUR L ISLE 24430
1784,eberle_joaillier_94005_reparation_0388320244,STRASBOURG 67000
1785,thieser_genevieve_204153_reparation_0685520776,SAINT-SÉBASTIEN-SUR-LOIRE 44230
1786,fourrel_de_frettes_francois_160159_reparation_0553575558,POMPORT 24240
1787,nadine_couture_66814_reparation_0241343772,AVRILLE 49240
1788,tv_music_services_168810_reparation_0610195250,NERAC 47600
1789,artebois_118008_reparation,MIRIBEL 01700
1790,msb_informatique_92843_reparation,LISIEUX 14100
1791,sarl_anne_willi_219620_reparation,PARIS 75006
1792,edelweiss_handmade_objects_123179_reparation_0652226524,ST MARTIN D URIAGE 38410
1793,polo_vincent_218409_reparation_0688706444,CHAMPAGNE SUR SEINE 77430
1794,lucien_stephanie_111145_reparation_0788869205,LAVAL 53000
1795,arts_2000_10550_reparation,VILLEFRANCHE SUR SAONE 69400
1796,hel_couture_156932_reparation,NOYAL-SUR-VILAINE 35530
1797,nath_a_des_millions_d_idees_178209_reparation_0695820644,SAUSSET LES PINS 13960
1798,gebetex_tri_normandie_60863_reparation,VERNON 27200
1799,pacaud_alain_12003_reparation_0473683198,BILLOM 63160
1800,aigueperse_menager_119559_reparation_0443135790,AIGUEPERSE 63260
1801,etablissements_peillet_59_reparation_0475704101,ROMANS SUR ISERE 26100
1802,antony_samuel_149447_reparation_0616906272,FLEURANCE 32500
1803,s_services_multimedias_8103_reparation,LORETTE 42420
1804,m_mueller_alain_149139_reparation_0681433575,NIMES 30900
1805,owen_neil_138212_reparation_0254714310,SEIGY 41110
1806,cavdar_ilhan_211447_reparation_0147708875,PARIS 09 75009
1807,santana_la_santa_harbbel_218399_reparation_0768207908,MAGNY LE HONGRE 77700
1808,m_dafflon_thomas_150660_reparation_0630221343,PONT SAINT ESPRIT 30130
1809,ahrv_144500_reparation_0680835322,AUTERIVE 31190
1810,la_bienheureuse_52144_reparation_0681178649,MURIANETTE 38420
1811,kime_100376_reparation_0672807301,AIX LES BAINS 73100
1812,zavan_magali_143447_reparation,ST GEORGES 82240
1813,l_univers_de_vyvy_190887_reparation_0670627625,MONPAZIER 24540
1814,coprelec_3145_reparation_0681436620,THONON-LES-BAINS 74200
1815,bijoux_ama_169783_reparation_0608947351,BIARRITZ 64200
1816,karaz_retouche_220273_reparation_0171948864,PARIS 15 75015
1817,begue_tatiana_110914_reparation_0659698639,CONLIE 72240
1818,avesque_guillaume_141748_reparation,HURES LA PARADE 48150
1819,sarl_albi_au_feminin_141852_reparation,ALBI 81000
1820,bassam_93181_reparation_0681904542,DIVES SUR MER 14160
1821,sms_soudure_metal_services_118342_reparation,FAREINS 01480
1822,natalia_mathieu_192348_reparation,MOUTIERS 73600
1823,pianne_thierry_142613_reparation_0467110081,MONTADY 34310
1824,decreus_christelle_137445_reparation_0663095535,TOURS 37000
1825,mme_tourdot_amandine_185489_reparation_0676376685,TOMBLAINE 54510
1826,bernat_alain_148949_reparation,SAINT-SULPICE-LA-POINTE 81370
1827,ziegler_jonathan_145776_reparation,ARGENCES EN AUBRAC 12420
1828,access_mobile_215242_reparation,LA COURNEUVE 93120
1829,turquetil_yves_136541_reparation_0623612241,CHUELLES 45220
1830,atelier_wood_56943_reparation,COUTICHES 59310
1831,fiskal_bambouz_155565_reparation,PLOZEVET 29710
1832,muller_stephane_140103_reparation_0561826021,VILLEMUR-SUR-TARN 31340
1833,bonjour_lisette_119718_reparation_0621563814,MARIGNIER 74970
1834,cordonnerie_saintetherese_154133_reparation,SAINT-BRIEUC 22000
1835,melan_multiservices_17323_reparation_0617802301,SAINT MARTIN DU VAR 06670
1836,parmentier_214073_reparation,PARIS 04 75004
1837,graer_milene_165887_reparation,AIRE SUR L' ADOUR 40800
1838,mme_lemahieu_helenececile_100981_reparation,FRESNOY EN CHAUSSEE 80110
1839,artisanna_204929_reparation_0613762454,ARBENT 01100
1840,valer_96662_reparation_0383365631,NANCY 54000
1841,clavieres_muriel_147369_reparation,CRAYSSAC 46150
1842,maud_bijoux_219325_reparation_0142641807,LES LILAS 93260
1843,marrot_laurent_141670_reparation,DEYME 31450
1844,la_maison_du_cuir_11197_reparation_0471781038,RIOM ES MONTAGNES 15400
1845,sarl_carlos_de_freitas_142942_reparation_0562097770,EAUZE 32800
1846,finet_jeanyves_217868_reparation,CLICHY 92110
1848,bernier_dorian_151679_reparation_0687040497,SAINT-MARTIN-DE-LENNE 12130
1849,art_en_bois_191916_reparation,ORADOUR SUR VAYRES 87150
1850,lartisan_vernisseur_155313_reparation_0648306429,TINTENIAC 35190
1851,electro_media_laval_72238_reparation_0243695355,LAVAL 53000
1852,cyclaux_243a_initiatives_locales,SEMUR-EN-AUXOIS 21140
1853,garel_joaillier_createur_100336_reparation,BOURG EN BRESSE 01000
1854,elmam_karim_218126_reparation_0753856737,PARIS 14 75014
1855,bsellerie_185020_reparation_0668188302,JUILLEY 50220
1856,sarl_blondy__fils_160929_reparation_0553526161,DUSSAC 24270
1857,webinfodom_101922_reparation,DUCOS 97224
1858,eta_mullier_192789_reparation,MAULERS 60480
1859,martin_pierre_117797_reparation,MAUVES SUR LOIRE 44470
1860,cherif_confection_123748_reparation,VANDOEUVRE LES NANCY 54500
1861,mme_bernard_andree_177515_reparation_0616146387,LA LONDE LES MAURES 83250
1862,m_racine_ali_sow_126221_reparation,REIMS 51100
1863,mcintosh_paul_69459_reparation_0241591533,LYS HAUT LAYON 49310
1864,latelier_guitares_153969_reparation,JUGON-LES-LACS–COMMUNE NOUVELLE 22270
1865,okamoto_keiji_219105_reparation,PUTEAUX 92800
1866,cycles_giacomin_199816_reparation_0777060655,MATHAY 25700
1867,travers_sabrina_183921_reparation_0637073148,L'AIGUILLON LA PRESQU'ILE 85460
1868,atelier_geisu_118396_reparation_0665485679,ST GEORGES 15100
1869,m_gravier_joel_143218_reparation_0610732724,BROUZET LES ALES 30580
1870,c__c_bat_175008_reparation,ST JEAN D ILLAC 33127
1871,taupin_corinne_136194_reparation,ISSOUDUN 36100
1872,kileria_196206_reparation_0384475960,VAL-SONNETTE 39190
1873,alleon_ame_7649_reparation_0469326665,SONNAY 38150
1874,bertrand_marie_helene_151075_reparation,VENDARGUES 34740
1875,m_dol_thierry_177596_reparation_0618754374,SISTERON 04200
1876,bousquet_samy_207305_reparation_0686640158,LHERM 46150
1877,tual_sabrina_137116_reparation_0238068254,BATILLY EN GATINAIS 45340
1878,demol_sarah_219046_reparation,ANTONY 92160
1879,bowers_steven_131529_reparation_0750082308,MONTRIOND 74110
1880,lamajolia_creation_184326_reparation_0638410366,BOLBEC 76210
1881,delemer_camille_annie_mauricette_51871_reparation_0645022138,ROUSSET 13790
1882,tom_jab_studio_175885_reparation_0631552905,SALAGNAC 24160
1883,solution_informatique_et_telecom_213095_reparation_0668640520,VIRY CHATILLON 91170
1884,dd_services_196489_reparation_0609458576,ETANG SUR ARROUX 71190
1885,horton_jane_145843_reparation_0562590183,BELLOC ST CLAMENS 32300
1886,mme_gouverneur_sandra_77234_reparation_0323587137,SORBAIS 02580
1887,morel_francoise_121482_reparation_0235533817,LE HAVRE 76600
1888,pereira_anais_217824_reparation_0607757738,BREUILLET 91650
1889,rubel_212117_reparation,PARIS 18 75018
