,identifiant_unique,adresse,adresse_complement,code_postal,ville,st_x,st_y
3202,delechamp_bernard_367_reparation_0474756158,14  RUE EMILE ECUYER,,01100,OYONNAX,5.6468451,46.255763
3203,latelier_informatique_154023_reparation_0681591345,BOQUAY,,56190,NOYAL-MUZILLAC,-2.469262,47.611748
3204,mme_beauquis_valerie_147374_reparation_0678603625,2 IMPASSE DERRIERE LES CLOS,,30820,CAVEIRAC,4.2541359,43.8282852
3205,bruguiere_martin_mathilde_151431_reparation_0623441138,171 RUE DU COMTE DE MELGUEIL,,34000,MONTPELLIER,3.891772,43.603891
3206,cash_express_saint_paul_les_dax_50032_sinoe_0558702764,80 Boulevard St Vincent de Paul,,40990,SAINT PAUL LES DAX,-1.480935627941,43.525672904273
3207,midipile_209180_reparation_0146840640,16 R D'AGUESSEAU,,92100,BOULOGNE BILLANCOURT,2.236339,48.844345
3208,bricole__rafistole_187404_reparation_0677957767,109 CHEMIN DE L'ENCLOS,,38320,BRIE ET ANGONNES,5.773623,45.132884
3209,communaute_emmaus_vesoul__lure_59416_sinoe,3 Rue des Jardins,,70200,LURE,6.497424618508,47.68161849597
3210,bee_creative_33888_reparation_0685093117,1110 C ROUTE DE SAINT SATURNIN LES APT,HAMEAU LES TRUFFIERS,84400,VILLARS,5.429695,43.933402
3211,pavone_sara_149271_reparation_0672255322,4 RUE ANDRE BLONDEL,,81600,GAILLAC,1.918778,43.899244
3212,laynat_odile_marie_51748_reparation_0674231150,32 B RUE SAINT ANTOINE,,13510,EGUILLES,5.3563175,43.5698556
3213,latelier_du_piano_152736_reparation,RUE JEAN PAUL SARTRE,,22300,LANNION,-3.476017,48.744466
3214,m_kreit_romain_203094_reparation,102 ROUTE D AROFFE,,88170,AOUZE,5.871941,48.375075
3215,geoffroy_catherine_136347_reparation_0254387062,LES VAUX,,36700,CHATILLON SUR INDRE,1.207783,46.975987
3216,namwong_retoucherie_215690_reparation,7 RUE JEAN-BAPTISTE PIGALLE,,75009,PARIS 09,2.33222,48.878248
3217,bougle_gerard_68505_reparation_0241549837,RUE MARGUERIE,,49800,ANDARD,-0.3954399,47.4578048
3218,zavado_175154_reparation,2 ESPLANADE VANDENBERGHE,,64140,BILLERE,-0.394879,43.306047
3219,orhon_louis_70171_reparation_0240960633,RN 23 LA BARBINIERE,ANETZ,44150,VAIR SUR LOIRE,-1.0988002,47.3845202
3220,florea_petrica_170806_reparation_0758810132,57 RUE LAFONTAINE,BAT 1 RDC,33800,BORDEAUX,-0.5697675,44.8268741
3221,humeur_du_jour_205081_reparation_0788784952,CHEMIN DU FOUR,TROENES B,13100,AIX-EN-PROVENCE,5.462443,43.536571
3222,leffet_colibrirecyclris_55001_sinoe,9/11 Rue Paul Lingevin Ris-orangis,,91130,RIS-ORANGIS,2.398525,48.649165
3223,mme_roturier_brigitte_143781_reparation_0603907969,144 ROUTE DE CAUVALAS,,30120,LE VIGAN,3.592518,43.981995
3224,societe_dentretien_de_mecanique_horlo_158956_reparation_0555509297,132 RUE FRANCOIS PERRIN,,87000,LIMOGES,1.240044,45.827663
3225,mr_sagot_jeanfrancois_55341_reparation_0617667071,164 RUE SEQUIERES,,62830,LACRES,1.7574732,50.6024658
3226,vergain_philippe_208616_reparation_0146334792,10 RUE MAITRE ALBERT,,75005,PARIS 05,2.349738,48.850746
3227,atelier_anne_lavit_7862_reparation_0427825273,36  RUE BANCEL,,69007,LYON 07,4.8386899,45.746983
3228,cp_192782_reparation_0616267299,LIEU DIT LES EPIS,CENTRE COMMERCIAL AUCHAN SIN LE NOBLE,59450,SIN LE NOBLE,3.101151,50.343369
3229,lionel_penna_services_17285_reparation,10 RUE DU PORTAIL,,06530,SAINT CEZAIRE SUR SIAGNE,6.7911922,43.6504717
3230,alonso_pardo_miguel_161376_reparation_0553891382,LE RAFFE,,47420,ALLONS,-0.11114,44.2242249
3231,lefebvre_gino_212006_reparation_0650953717,40 CHE DU BOIS DES FOSSES,,91180,ST GERMAIN LES ARPAJON,2.247885,48.611626
3232,alex_service_informatique_10314_reparation_0645510337,2135 B ROUTE DES BLANCS,,01851,MARBOZ,5.2565794,46.3160772
3233,brico_proced_182947_reparation_0767506589,160 MONTEE DES VULLIELES,LES VERGERS D'ALINE,73790,TOURS EN SAVOIE,6.440342,45.65197
3234,roethlisberger_jeanpaul_201273_reparation_0181938186,11 RUE DU STADE,,25340,PAYS DE CLERVAL,6.49092,47.400101
3235,thallyta_crea_139887_reparation_0627775691,4 ALLEE JEAN GIONO,BAT 2,26800,PORTES LES VALENCE,4.880681,44.879371
3236,fast_solutions_166518_reparation_0952216426,8 ALLEE DES TILLEULS,LA POINTE DES GROIES,16210,CHALAIS,0.0567022,45.2700341
3237,barret_sophie_136890_reparation_0247941753,5 GEAY,,37310,COURCAY,0.885187,47.258574
3238,lart_des_choiz_202225_reparation_0611268883,19 RUE DE ROME,LES PARCS DU LUBERON BAT F 201,84300,CAVAILLON,5.053721,43.842121
3239,picrouillere_angelique_134261_reparation_0243588412,7 RUE DES ORMEAUX,,53170,ARQUENAY,-0.5668145,47.9864041
3240,polesello_denis_145794_reparation_0686785710,ROQUEMALE,,32250,MONTREAL,0.209013,43.946617
3241,cordonnerie_de_la_pointe_de_chaville_215281_reparation,2020 AV ROGER SALENGRO,,92370,CHAVILLE,2.183626,48.805483
3242,toto_veronique_101845_reparation_0696547771,RES MELODY CARITAN,IMM REGINA A P 9,97220,LA TRINITE,-60.9656452,14.7296251
3243,brandao_amandio_110405_reparation,10 RUE DAVID D'ANGERS,,49100,ANGERS,-0.5504108,47.4717822
3244,gibon_201023_reparation_0688575400,73 ROUTE DES ROUSSES D'AMONT,,39220,LES ROUSSES,6.057871,46.48961
3245,mme_monico_amandine_145458_reparation_0662248078,2 IMPASSE DES SYRAH,,30620,AUBORD,4.314212,43.760174
3246,nuances_d_email_109373_reparation_0620339955,14 AVENUE DE VERDUN,,13440,CABANNES,4.9450176,43.8608744
3247,bijouterie_ambre_8510_reparation_0660802562,9  AVENUE DU PETIT PORT,,73100,AIX LES BAINS,5.9112987,45.6915892
3248,mme_thiennot_florence_95602_reparation_0686860510,53 AVENUE DU PRESIDENT WILSON,,10120,ST ANDRE LES VERGERS,4.061742,48.288263
3249,home_help_info_51781_reparation_0635133730,6 RUE GUINTRAND,,13002,MARSEILLE--2E--ARRONDISSEMENT,5.3697719,43.2998305
3250,soler_lucie_138601_reparation_0247721490,4 La Noue,,37110,AUTRECHE,0.986061,47.528518
3251,biche_222969_reparation,2 RUE RENE LEYNAUD,,69001,LYON 01,4.832079,45.769549
3252,vanreckt_nancy_207743_reparation_0466315160,15 ESP MARCEAU FARELLE,,48400,FLORAC-TROIS-RIVIERES,3.593421,44.325078
3253,vangilwen_mylene_135806_reparation,3 AVENUE DES BORDS DE CLAISE,,37350,LE GRAND PRESSIGNY,0.79381,46.92033
3254,mme_brunet_sylvia_101036_reparation,70 RUE DES ECOLES,,59254,GHYVELDE,2.5178916,51.0471643
3255,michel_nesprias_et_cie_165002_reparation_0559937427,ROUTE DEPARTEMENTALE 932,ESPACE ERREPIRA,64480,LARRESSORE,-1.431488,43.371607
3256,vaelo_205649_reparation_0640072724,ROUTE DEPARTEMENTALE 562,CENTRE ESPACE 1 LOCAL D2,83440,MONTAUROUX,6.776005,43.609931
3257,mme_wolff_jocelyne_58424_reparation_0685464424,15 RUE DES CYPRES,,80460,OUST MAREST,1.4751216,50.0381549
3258,costes_nicole_150731_reparation_0650873742,19 RUE KLEBER,,31330,GRENADE,1.289716,43.771621
3259,fovet_lucas_152149_reparation,MESTREPEY,,09130,CARLA-BAYLE,1.376206,43.185857
3260,dutay_patricia_68683_reparation_0241886910,5 RUE DE BRISSAC,,49000,ANGERS,-0.5502719,47.4647133
3261,calvayrac_sarah_150644_reparation_0771749494,4 IMP JEAN CHAUBET,,31500,TOULOUSE,1.482084,43.6048589
3262,objets_deroutes_185741_reparation,24 RUE DU LION,,67560,ROSHEIM,7.470839,48.497396
3263,materielvelocom_provence_51422_reparation,20 RUE GEORGES CLAUDE,,13290,AIX-EN-PROVENCE,5.3813087,43.4909864
3264,fsg_services_136314_reparation_0238410889,82 RUE DE LA VILLETTE,,45640,SANDILLON,2.033622,47.846105
3265,landri_hubert_5703_reparation_0475047643,2  IMPASSE DU BOIS JOLI,,26130,ST PAUL TROIS CHATEAUX,4.7633055,44.3415318
3266,communaute_emmaus_valence_montelimar_54595_sinoe_0475602320,Z.A Avenue du Meyrol,,26200,MONTÉLIMAR,4.742628593051,44.554710033397
3267,crouzet_jerome_160690_reparation_0678717541,LD JEAN DE VIDEAU,,33124,AILLAS,-0.073154,44.473977
3268,piffeteau_christophe_70514_reparation,14 RUE DU MOULIN,,44000,NANTES,-1.5543924,47.2163102
3269,maurel_jeanmarc_151826_reparation_0685260633,27 BOULEVARD 122E RI,,12000,RODEZ,2.574291,44.346748
3270,aguilar_dorian_109276_reparation_0685690456,MAS DE LA TOUR DE LUBIERES,ALBARON,13200,ARLES,3.346571,45.373952
3271,rustine_et_cambouis_512_initiatives_locales,Allée de L'Ancienne Poste,,33290,BLANQUEFORT,-0.633766,44.909159
3272,oshuns_secrets_204004_reparation_0781303941,94 AVENUE DEBOURG,BATIMENT A,69007,LYON 07,4.834559,45.730941
3273,adiwii_services_aux_particuliers_121624_reparation_0971265480,82 RUE JEANNE D ARC,,76000,ROUEN,1.091936,49.444116
3274,monestier_alexandre_151868_reparation_0602275272,3 RUE DE BRIANCON,,31500,TOULOUSE,1.464639,43.6264571
3275,parra_nicolas_149609_reparation,9 RUE PLANCOU,,34530,MONTAGNAC,3.480703,43.479754
3276,chakanova_nurjamal_168565_reparation,36 RUE DES FRERES WRIGHT,,64000,PAU,-0.366445,43.308295
3277,marraccini_14173_reparation,268 BOULEVARD ARISTIDE BRIAND,,13300,SALON DE PROVENCE,5.0905976,43.6382802
3278,communaute_emmaus_rouen_7427_sinoe_0235743683,8 Rue de l'Abbé Pierre,Bp 34,76960,NOTRE-DAME-DE-BONDEVILLE,1.041470807797,49.488617876353
3279,or_faivre_223618_reparation_0450881940,74 AVENUE DE LA REPUBLIQUE,CRAN GEVRIER,74960,ANNECY,6.09781,45.908664
3280,competence_2051_reparation_0475025478,AVENUE DE LA PREMIERE ARMEE,CENTRE COMMERCIAL DES MEANNES,26100,ROMANS SUR ISERE,5.0537181,45.0566465
3281,voirin_clarisse_32662_reparation_0620831304,138 CHEMIN DES SUIVIERES,,83480,PUGET SUR ARGENS,6.6835103,43.4627509
3282,venel_aurelia_212640_reparation_0664915167,39 AV ERNEST REYER,,75014,PARIS 14,2.323733,48.82255
3283,bonel_stephanie_mireille_geraldine_146531_reparation,RUE DES JONQUILLES PAVILLON N5,,66330,CABESTANY,2.9398418,42.6773003
3284,brun_martine_62568_reparation_0476712174,580  RUE GRAND-RUE,LA BRANCHY,38660,ST VINCENT DE MERCUZE,5.9534622,45.3705405
3285,roseal_atelier_fabrica_fab_77769_reparation_0611141579,98 CHEMIN DE SAINT GRAT,,73190,ST BALDOPH,5.946641,45.5391391
3286,bradecobox_drupal_m1246_0366629865,56 rue Pierre Martin,,62280,SAINT-MARTIN-BOULOGNE,1.671086,50.728446
3287,lebailly_stephane_114680_reparation_0679036928,9 RUE DU FOUR,,14220,MESLAY,-0.3952891,48.9541181
3288,vintage__creations_109317_reparation,117 BOULEVARD DE CESSOLE,,06100,NICE,7.2506838,43.7216679
3289,denis_jeanphilippe_33563_reparation_0611425160,80 RUE RENE CASSIN,,73490,LA RAVOIRE,5.9642581,45.5626825
3290,curillon_romuald_174757_reparation_0620414299,13 RUE L ESCLOUPEY,,33720,VIRELADE,-0.383719,44.665712
3291,sas_pierreyves_jouan_216917_reparation_0778251452,28 RUE RAPHAEL CORBY,,78220,VIROFLAY,2.16489,48.800631
3292,var_azur_linge_49781_sinoe_0494140305,98 Impasse Edouard Branly,,83130,LA GARDE,6.021667860886,43.129540084189
3293,daout_marielaure_220382_reparation_0610157166,10 B AV CHARLES DE GAULLE,,95740,FREPILLON,2.202604,49.046767
3294,le_sancy_15693_reparation_0491359823,CENTRE COMMERCIAL DE LA VALENTINE,,13011,MARSEILLE-11E--ARRONDISSEMENT,5.476738,43.291711
3295,desfosse_coraline_183717_reparation_0615272966,64 RUE DES EAUX,,85270,SAINT HILAIRE DE RIEZ,-1.953071,46.709796
3296,crea_syd_119584_reparation,14 AVENUE DES PAULINES,,63000,CLERMONT FERRAND,3.093574,45.773959
3297,yoann_allee_155675_reparation,8 RUE DE LOGODEN,,35132,VEZIN-LE-COQUET,-1.748177,48.117067
3298,quesney_catherine_218625_reparation_0683629576,22 B RUE DES VIGNES,,92190,MEUDON,2.247293,48.811807
3299,latelier_de_titanne_161221_reparation,MAISON GRANGE DARRIEUX,,64240,LABASTIDE CLAIRENCE,-1.255944,43.429652
3300,m_robichon_eric_174031_reparation_0682951072,11 RUE DU 19 MARS 1962,,87210,LE DORAT,1.091248,46.217537
3301,ste_gual_196780_reparation_0952876129,LIEU-DIT LA BELOUZE,,71520,SAINT LEGER SOUS LA BUSSIERE,4.560112,46.315317
3302,au_poirier_noirci_19250_reparation_0620434253,88 ROUTE DE L'ALMANARRE,VILLA LES SOURCES LA MANET,83400,HYERES,6.128059,43.1037121
3303,jdm_multimedia_205543_reparation_0660881651,AVENUE BAPTISTIN RAPHAEL,LES HAUTS DE SEPTEMES HAMEAU SUD BATA4,13240,SEPTÈMES-LES-VALLONS,5.35787,43.399933
3304,m_paganessi_didier_124503_reparation,19 RUE PASTEUR,,10150,PONT STE MARIE,4.0941124,48.3172445
3305,g_pannetier_12260_reparation,18  RUE DES CHAUMES,GLENAT,63460,ARTONNE,3.1566051,46.0142378
3306,janninelle_michelle_solange_68526_reparation_0241508656,77 ROUTE DE TOURS,SAINT LAMBERT DES LEVEES,49400,SAUMUR,-0.0569115,47.2637621
3307,couillaud_marika_169538_reparation_0630827463,53 PLACE DES ARCADES,,47150,MONFLANQUIN,0.767645,44.532677
3308,fredillon_153746_reparation_0621784899,36 RUE DE PARIS,,35000,RENNES,-1.666678,48.112412
3309,maco_informatique_112025_reparation_0354443790,27 RUE DU PONT DES MORTS,,57000,METZ,6.1695779,49.1204886
3310,atelier_gouzenne_15709_reparation,Z.A DES PLAINES SUD AGGLOPOLE PROVENCE,,13250,SAINT CHAMAS,5.054511,43.54312
3311,le_tresor_de_lutine_200663_reparation_0629842418,7 RUE DES ECOLES,,71500,LOUHANS,5.233792,46.633765
3312,les_patines_de_saint_cannat_179810_reparation_0683519816,34 AVENUE CAMILLE PELLETAN,,13760,SAINT CANNAT,5.300518,43.620167
3313,gestas_creations_158672_reparation,LES PINS,,64520,CAME,-1.091012,43.487166
3314,m_albouy_guillaume_178887_reparation_0769851246,4 PLACE JEAN DOTTO,,83340,CABASSE,6.221381,43.425763
3315,sophie_vanille_199427_reparation_0673303248,10 RUE DES BASSES ROCHES,LE BOURG,71150,CHASSEY LE CAMP,4.697724,46.886865
3316,the_center_phone_182430_reparation,28 RUE TRACHEL,,06000,NICE,7.260692,43.70634
3317,m_barrat_dominique_194657_reparation_0686178565,4 RUE DES CAUDRELIERS,,59253,LA GORGUE,2.779297,50.633457
3318,okal_48211_sinoe_0297563687,11 Rue d Irlande,,56400,AURAY,-2.992396009236,47.668190417906
3319,vachet_eric_20185_reparation,LE VILLARET,,05120,SAINT MARTIN DE QUEYRIERES,6.597393,44.859963
3320,m_defaux_raphael_123851_reparation,1 RUE GUILLAUME,,54110,DOMBASLE SUR MEURTHE,6.369012,48.618483
3321,tikofdeco_122365_reparation_0699895771,4 CHEMIN DU GAY LAUDENCOURT,,76220,FERRIERES EN BRAY,1.7596126,49.4993759
3322,zeppit_143212_reparation,22 RUE DU SALAISON,,34740,VENDARGUES,3.963239,43.653976
3323,crealua_6498_reparation_0695160706,27   GRANDE RUE,,38700,LA TRONCHE,5.7462056,45.2071792
3324,drieu_christophe_92840_reparation_0231988988,HAMEAU DE LA GUERIE,L'EPINE,14600,ABLON,0.3009305,49.3838099
3325,informatique_thomas_16006_reparation,ESPACE BEAU DE ROCHAS,ZI SAINT CHRISTOPHE,04000,DIGNE LES BAINS,6.1862443,44.0760793
3326,au_fil_a_coudre_184742_reparation_0233490552,8 BEAU SOLEIL,ST MARTIN DE LANDELLES,50730,ST HILAIRE DU HARCOUET,-1.157588,48.546449
3327,100_pressions_185697_reparation_0677341986,4 RUE DE LA SABLE,,26300,CHATEAUNEUF SUR ISERE,4.939357,45.014968
3328,cameijo_laurent_168115_reparation_0556873204,6 RUE GAZAILLAN,,33170,GRADIGNAN,-0.599831,44.779886
3329,creawood_stone_metal_187254_reparation_0677644313,15 RUE DE LA FORET,,68560,RUEDERBACH,7.267198,47.565573
3330,burgaud_yohan_204771_reparation_0650318132,125 RUE DU MOULIN,,85560,LE BERNARD,-1.472863,46.440817
3331,philomene_thebault_creation_220340_reparation_0652810159,13 RUE EUGENE VARLIN,,75010,PARIS 10,2.364279,48.878468
3332,sauvez_les_meubles_195030_reparation_0695162859,7 RUE PETEL,,59360,LE CATEAU CAMBRESIS,3.542141,50.097004
3333,chapuis_veronique_149175_reparation_0651935690,65 RUE DE LA PETITE REPUBLIQUE,,31170,TOURNEFEUILLE,1.354287,43.581054
3334,calixte_216820_reparation,1 B AV DE SAINT CLOUD,,78000,VERSAILLES,2.12777,48.80504
3335,communaute_emmaus_montlucon_46759_sinoe_0470288546,26 Rue du 14 Juillet,,03100,MONTLUÇON,2.603730918409,46.342276778538
3336,dkap_informatique_165499_reparation_0605688841,RUE MARGUERITE CRAUSTE,RESIDENCE CRISTAL APPT5,33000,BORDEAUX,-0.5878485,44.8359337
3337,provence_couture_17677_reparation_0672554330,286 CH DE PROVENCE,,06250,MOUGINS,7.0018645,43.5823177
3338,patine_et_brocante_5257_reparation_0626084419,57 ROUTE DE MEPIEU,,38510,ARANDON,5.4301231,45.7117305
3339,gerault_patrick_100134_reparation_0243084982,LD LA MOTTERIE,,53120,HERCE,-0.844456,48.436159
3340,jean_luc_cormier_cuisines_208964_reparation,52 RUE DE LA CROIX NIVERT,RESIDENCE LE GALILEE,75015,PARIS 15,2.298021,48.845579
3341,lezard_et_bobines_207790_reparation_0615636473,24 rue Marius Audouy,,31250,REVEL,2.002783,43.458817
3342,sasu_jmlm_216436_reparation,21 RUE LAVOISIER,,78150,LE CHESNAY,2.128574,48.817981
3343,maria_des_anges_159297_reparation_0556254813,1 AUX CARRIERES,,33730,POMPEJAC,-0.3102825,44.3855992
3344,des_filles_en_vert_191205_reparation,3 IMPASSE SAINTE-ELISABETH,,33000,BORDEAUX,-0.576775,44.854155
3345,woods_life_atelier_222232_reparation_0663143740,1395 CHEMIN DU PERRIER REDON,,13560,SENAS,5.09786,43.754642
3346,m_toussaint_gregory_118109_reparation_0674243817,6 RUE LEON BLUM,,57280,MAIZIERES LES METZ,6.1607648,49.2257228
3347,furlan_matthieu_150033_reparation_0674730928,89 AVENUE MARECHAL DE LATTRE DE TASSIGNY,,81000,ALBI,2.157952,43.930742
3348,au_bouleau_chez_vous_170291_reparation_0652882461,7 RUE DES BUISSONS,,87470,PEYRAT LE CHATEAU,1.782785,45.81317
3349,atelier_lr_217957_reparation,155 RUE DU FAUBOURG POISSONNIERE,,75009,PARIS 09,2.34975,48.880681
3350,laverie_francaise_187245_reparation,17 RUE DE BELFORT,,68700,ASPACH LE BAS,7.155767,47.763387
3351,m_dasque_pascal_96791_reparation_0383244680,45 RUE DE LA GARE,,54460,LIVERDUN,6.065792,48.749757
3352,aquitaine_photo_reparations_163409_reparation_0556320102,32 RUE CHABRELY,,33100,BORDEAUX,-0.5550399,44.8412747
3353,envie_saint_raphael_46298_sinoe_0494522543,326 Avenue Général Leclerc,les Jardins d'Anaïs,83700,SAINT-RAPHAËL,6.855106815186,43.457374089179
3354,laur_bernard_140209_reparation,RUE DU COLOMBIER,,12310,LAISSAC-SEVERAC L'EGLISE,2.821485,44.380335
3355,decadrages_210610_reparation_0148109910,1 AV LAENNEC,1-13,93380,PIERREFITTE SUR SEINE,2.372665,48.963918
3356,la_clinique_du_jeu_video_222845_reparation_0669170887,735 ROUTE DE BALAIS,,07340,TALENCIEUX,4.765477,45.215769
3357,m_chambo_hilaire_202152_reparation_0613612721,135 AVENUE DE GRASSE,,06400,CANNES,7.007895,43.555343
3358,allo_depanne_pc_105603_reparation_0387551093,1 RUE BEGIN,,57000,METZ,6.1620931,49.101607
3359,atelor_120339_reparation_0602275091,66 GRAND RUE CROIX ROUSSE,,69004,LYON 04,4.8324781,45.7796809
3360,racine_distribution_50047_sinoe_0142420201,75 Boulevard Charles de Gaulle,,92700,COLOMBES,2.24436887215,48.921487793497
3361,hifidylle_164118_reparation,9 BOULEVARD DU SALAN,,19100,BRIVE LA GAILLARDE,1.535511,45.160199
3362,enfidesia_16654_reparation,93 BOULEVARD PAUL DOUMER,,06110,LE CANNET,7.007408,43.5696898
3363,ad_velos_drupal_m1485_0769150888,04 rue du lazaret,,67000,STRASBOURG,7.761423,48.563023
3364,radio_lyrel_214469_reparation_0142542141,12 RUE JOSEPH DIJON,,75018,PARIS 18,2.346604,48.894069
3365,sylvie_b_34555_reparation_0489719189,15 RUE FREDERIC MIREUR,,83300,DRAGUIGNAN,6.4640596,43.5389942
3366,fredo_brin_dosier_107987_reparation_0659197541,25 CHEMIN DES SANTONS,,69110,STE FOY LES LYON,4.7854665,45.7243319
3367,ethan_216244_reparation,58 RUE DES MATHURINS,,75008,PARIS 08,2.322166,48.873502
3368,david_mickael_161131_reparation,3 D IMPASSE DE JANVIER,,33380,MIOS,-0.928722,44.617496
3369,laurilou_163831_reparation_0688942248,LES PLATS,,19700,SAINT CLEMENT,1.66645,45.322094
3370,carton_et_compagnie_52489_reparation_0682943022,339  ROUTE DU MOULIN DES PLANCHES,SABONNAIRE,42240,SAINT MAURICE EN GOURGOIS,4.184184,45.402083
3371,paysagiste_fliva_61049_reparation_0633966083,3 B RUE DE LA FONTAINE,,27120,BONCOURT,1.308386,49.025793
3372,de_sousa_vincent_213408_reparation_0679372689,16 IMP DE PARIS,,77240,CESSON,2.597088,48.56963
3373,moussard_xavier_217945_reparation,6 RUE DE BELFORT,,75011,PARIS 11,2.383573,48.856438
3374,renoinfo_7401_reparation_0469263666,15 RUE VINCENT TOUCHET,,07400,LE TEIL,4.6836254,44.5478982
3375,ecrin_d_antan_163541_reparation_0620636091,6 LE BOURG,,33420,GREZILLAC,-0.2169119,44.8178228
3376,atelier_lutherie_vent_alv_125475_reparation_0670598983,7 RUE CHARLES CACHELEUX,,27340,PONT DE L ARCHE,1.155606,49.301041
3377,absolu_ski_11414_reparation,LIORAN SPORT - TOUR SUMENE,LE LIORAN CENTRE STATION,15300,LAVEISSIERE,2.7433375,45.0882434
3378,joaillerie_lignon_143926_reparation_0467606073,20 GR RUE JEAN MOULIN,,34000,MONTPELLIER,3.877449,43.607934
3379,massip_martine_191466_reparation_0624732256,ROUTE DE PHILIP,,40140,SOUSTONS,-1.352369,43.747216
3380,bluebag_176569_reparation_0621372833,MAJAL,,43200,ARAULES,4.191764,45.051741
3381,mauillon_baptiste_113681_reparation_0671348541,60 LEVEE JEANNE DE LAVAL,LA BOHALLE,49800,ANDARD,-0.4138282,47.4194219
3382,les_fils_dannesophie_69472_reparation_0625795118,6 CHEMIN DE LA NOUE BLANCHE,VAUCHRETIEN,49320,BRISSAC LOIRE AUBANCE,-0.47553,47.3330655
3383,a_la_caleche_des_dames_162069_reparation,6 PLACE MAURICE REGNIER,,86220,INGRANDES,0.5660201,46.876459
3384,crea_wood_style_139870_reparation_0659809712,59 AVENUE DU PRESIDENT AURIOL,,03100,MONTLUCON,2.588335,46.3393891
3385,electro_system_115518_reparation_0243070865,1 Bis rue de Belgique,,53400,CRAON,-0.968242,47.842246
3386,sos_pc_44_66717_reparation_0240223801,11 RUE SAINTE CATHERINE,,44160,PONTCHATEAU,-2.0896768,47.4360125
3387,baudry_service_motoculture_156886_reparation,1 ROUSSETTE,,35460,VAL-COUESNON,-1.4764785,48.4238734
3388,somoba_societe_de_montage_barascud_141338_reparation_0467108916,82 RUE ANDRE AMPERE,,34570,MONTARNAUD,3.6937944,43.6264572
3389,godinho_informatics__technologies_200463_reparation_0607445033,39 RUE MAURICE PROU,,89100,SENS,3.294107,48.1892
3390,tiphaine_van_eeckhout_102248_reparation_0635396086,7 RUE DU BAOU,,06610,LA GAUDE,7.1497158,43.7220406
3391,m_thiebaut_michael_124724_reparation_0660965140,12 RUE DE BITOLA,APPT 72998,88000,EPINAL,6.454092,48.160634
3392,l_meme_19097_reparation_0608368797,95 AVENUE DES CRAUS,TERRE D OCRE,83160,LA VALETTE DU VAR,5.9905938,43.1396798
3393,au_plaisir_du_camping_222038_reparation_0612959311,102 RUE DE L OLIVASTRE,,83230,BORMES LES MIMOSAS,6.342219,43.144872
3394,maison_leleu_218013_reparation,86 RUE LEMERCIER,,75017,PARIS 17,2.320036,48.888794
3395,m_etienne_teddy_105527_reparation,COMMUNE DE RATTACHEMENT,,57100,THIONVILLE,6.168426,49.357571
3396,tech_informatique_178033_reparation_0685593720,RUE DE LA MAGDELEINE,LE VILLAGE,05300,UPAIX,5.875427,44.319363
3397,m_fievet_didier_54950_reparation_0676755058,27 PLACE JEAN ROSTAND,,59500,DOUAI,3.0682195,50.3795625
3398,ets_mann_jean_claude_94273_reparation_0389776450,2 RUE DE LA GARE,,68380,MUHLBACH SUR MUNSTER,7.085239,48.02536
3399,laplace_charlotte_213506_reparation,84 RUE VERGNIAUD,2 EME ETAGE CHEZ M. ET MME PEREZ,75013,PARIS 13,2.344125,48.82321
3400,mme_lemaire_patricia_193827_reparation_0619954716,RUE LEQUIEN,1 QUATREVAUX,62770,WAIL,2.11422,50.332743
3401,mes_mille_et_une_bricoles_174242_reparation_0668012633,1132 ROUTE DE GARONNE,LD AU TREIL,47270,ST JEAN DE THURAC,0.7518293,44.1467163
3402,mpb_198326_reparation_0663075322,IMPASSE HAMEAU DE THURISSEY DU MONT,,71260,MONTBELLET,4.884032,46.46474
3403,siliac_157762_reparation_0621683078,12 RUE DE DINAN,,35400,SAINT-MALO,-2.026654,48.647076
3404,services_informatiques_olivier_ordonez_technologies_137730_reparation_0811690564,2 RUE MARIN DUBUARD,,28400,NOGENT LE ROTROU,0.818043,48.321388
3405,top_cles_gignac_148896_reparation,14 RUE DE LA ROQUE,,34150,GIGNAC,3.549383,43.651505
3406,a_naves_motoculture_167504_reparation_0555219353,LES ARIAUX,,19460,NAVES,1.738974,45.3381162
3407,dupont_aurelie_170344_reparation,60 RUE DE SABAREGES,,33440,AMBARES ET LAGRAVE,-0.5095132,44.9294912
3408,access_phone_218853_reparation,34 AV DES CHAMPS-ELYSEES,,75008,PARIS 08,2.308164,48.869965
3409,societe_j_f_mode_159568_reparation,100 AVENUE V HUGO,,19000,TULLE,1.7600094,45.2616985
3410,manufacture_de_cassaigne_144606_reparation_0562286071,AU VILLAGE,,32100,CASSAIGNE,0.335807,43.908487
3411,ouest_encadrement_153315_reparation,RTE DE MERIADEC,,56400,PLOUGOUMELEN,-2.869299,47.663775
3412,olle_pauline_10336_reparation_0475592257,1399  CHEMIN DES DRILLES,,26120,CHABEUIL,5.0522168,44.8945468
3413,jees_decoupe_201614_reparation_0685591348,13 RUE DU BIEF,,39300,SIROD,5.97983,46.730706
3415,noblebois_eurl_141146_reparation_0970353789,CHE DE BROUES,,34190,GANGES,3.7189874,43.9369962
3416,sarl_riallansidaner_70378_reparation,29 T RUE DE LA MALADRIE,,44120,VERTOU,-1.4843954,47.1844394
3417,creation_amenagement_interieur_148577_reparation,1650 AVENUE JULIEN PANCHOT,,66000,PERPIGNAN,2.8683517,42.6866158
